N was 6
M was 7
229, arrived 46, Rejected 0, In line 442, at 12:49:0
230, arrived 56, Rejected 0, In line 456, at 12:50:0
231, arrived 44, Rejected 0, In line 458, at 12:51:0
232, arrived 42, Rejected 0, In line 458, at 12:52:0
233, arrived 52, Rejected 0, In line 468, at 12:53:0
234, arrived 44, Rejected 0, In line 470, at 12:54:0
235, arrived 28, Rejected 0, In line 456, at 12:55:0
236, arrived 42, Rejected 0, In line 456, at 12:56:0
237, arrived 47, Rejected 0, In line 461, at 12:57:0
238, arrived 51, Rejected 0, In line 470, at 12:58:0
239, arrived 40, Rejected 0, In line 468, at 12:59:0
240, arrived 48, Rejected 0, In line 474, at 13:0:0
241, arrived 45, Rejected 0, In line 477, at 13:1:0
242, arrived 45, Rejected 0, In line 480, at 13:2:0
243, arrived 41, Rejected 0, In line 479, at 13:3:0
244, arrived 49, Rejected 0, In line 486, at 13:4:0
245, arrived 39, Rejected 0, In line 483, at 13:5:0
246, arrived 47, Rejected 0, In line 488, at 13:6:0
247, arrived 34, Rejected 0, In line 480, at 13:7:0
248, arrived 43, Rejected 0, In line 481, at 13:8:0
249, arrived 48, Rejected 0, In line 487, at 13:9:0
250, arrived 48, Rejected 0, In line 493, at 13:10:0
251, arrived 47, Rejected 0, In line 498, at 13:11:0
252, arrived 42, Rejected 0, In line 498, at 13:12:0
253, arrived 39, Rejected 0, In line 495, at 13:13:0
254, arrived 47, Rejected 0, In line 500, at 13:14:0
255, arrived 47, Rejected 0, In line 505, at 13:15:0
256, arrived 49, Rejected 0, In line 512, at 13:16:0
257, arrived 42, Rejected 0, In line 512, at 13:17:0
258, arrived 49, Rejected 0, In line 519, at 13:18:0
259, arrived 39, Rejected 0, In line 516, at 13:19:0
260, arrived 55, Rejected 0, In line 529, at 13:20:0
261, arrived 48, Rejected 0, In line 535, at 13:21:0
262, arrived 47, Rejected 0, In line 540, at 13:22:0
263, arrived 41, Rejected 0, In line 539, at 13:23:0
264, arrived 45, Rejected 0, In line 542, at 13:24:0
265, arrived 36, Rejected 0, In line 536, at 13:25:0
266, arrived 41, Rejected 0, In line 535, at 13:26:0
267, arrived 53, Rejected 0, In line 546, at 13:27:0
268, arrived 48, Rejected 0, In line 552, at 13:28:0
269, arrived 36, Rejected 0, In line 546, at 13:29:0
270, arrived 37, Rejected 0, In line 541, at 13:30:0
271, arrived 42, Rejected 0, In line 541, at 13:31:0
272, arrived 46, Rejected 0, In line 545, at 13:32:0
273, arrived 46, Rejected 0, In line 549, at 13:33:0
274, arrived 48, Rejected 0, In line 555, at 13:34:0
275, arrived 41, Rejected 0, In line 554, at 13:35:0
276, arrived 50, Rejected 0, In line 562, at 13:36:0
277, arrived 41, Rejected 0, In line 561, at 13:37:0
278, arrived 42, Rejected 0, In line 561, at 13:38:0
279, arrived 39, Rejected 0, In line 558, at 13:39:0
280, arrived 60, Rejected 0, In line 576, at 13:40:0
281, arrived 28, Rejected 0, In line 562, at 13:41:0
282, arrived 51, Rejected 0, In line 571, at 13:42:0
283, arrived 42, Rejected 0, In line 571, at 13:43:0
284, arrived 39, Rejected 0, In line 568, at 13:44:0
285, arrived 44, Rejected 0, In line 570, at 13:45:0
286, arrived 57, Rejected 0, In line 585, at 13:46:0
287, arrived 55, Rejected 0, In line 598, at 13:47:0
288, arrived 50, Rejected 0, In line 606, at 13:48:0
289, arrived 48, Rejected 0, In line 612, at 13:49:0
290, arrived 37, Rejected 0, In line 607, at 13:50:0
291, arrived 48, Rejected 0, In line 613, at 13:51:0
292, arrived 43, Rejected 0, In line 614, at 13:52:0
293, arrived 50, Rejected 0, In line 622, at 13:53:0
294, arrived 56, Rejected 0, In line 636, at 13:54:0
295, arrived 54, Rejected 0, In line 648, at 13:55:0
296, arrived 52, Rejected 0, In line 658, at 13:56:0
297, arrived 39, Rejected 0, In line 655, at 13:57:0
298, arrived 50, Rejected 0, In line 663, at 13:58:0
299, arrived 46, Rejected 0, In line 667, at 13:59:0
300, arrived 32, Rejected 0, In line 657, at 14:0:0
301, arrived 43, Rejected 0, In line 658, at 14:1:0
302, arrived 43, Rejected 0, In line 659, at 14:2:0
303, arrived 42, Rejected 0, In line 659, at 14:3:0
304, arrived 35, Rejected 0, In line 652, at 14:4:0
305, arrived 36, Rejected 0, In line 646, at 14:5:0
306, arrived 29, Rejected 0, In line 633, at 14:6:0
307, arrived 31, Rejected 0, In line 622, at 14:7:0
308, arrived 42, Rejected 0, In line 622, at 14:8:0
309, arrived 35, Rejected 0, In line 615, at 14:9:0
310, arrived 34, Rejected 0, In line 607, at 14:10:0
311, arrived 41, Rejected 0, In line 606, at 14:11:0
312, arrived 35, Rejected 0, In line 599, at 14:12:0
313, arrived 32, Rejected 0, In line 589, at 14:13:0
314, arrived 30, Rejected 0, In line 577, at 14:14:0
315, arrived 38, Rejected 0, In line 573, at 14:15:0
316, arrived 38, Rejected 0, In line 569, at 14:16:0
317, arrived 29, Rejected 0, In line 556, at 14:17:0
318, arrived 36, Rejected 0, In line 550, at 14:18:0
319, arrived 35, Rejected 0, In line 543, at 14:19:0
320, arrived 41, Rejected 0, In line 542, at 14:20:0
321, arrived 38, Rejected 0, In line 538, at 14:21:0
322, arrived 30, Rejected 0, In line 526, at 14:22:0
323, arrived 30, Rejected 0, In line 514, at 14:23:0
324, arrived 35, Rejected 0, In line 507, at 14:24:0
325, arrived 28, Rejected 0, In line 493, at 14:25:0
326, arrived 29, Rejected 0, In line 480, at 14:26:0
327, arrived 33, Rejected 0, In line 471, at 14:27:0
328, arrived 32, Rejected 0, In line 461, at 14:28:0
329, arrived 44, Rejected 0, In line 463, at 14:29:0
330, arrived 43, Rejected 0, In line 464, at 14:30:0
331, arrived 37, Rejected 0, In line 459, at 14:31:0
332, arrived 41, Rejected 0, In line 458, at 14:32:0
333, arrived 40, Rejected 0, In line 456, at 14:33:0
334, arrived 35, Rejected 0, In line 449, at 14:34:0
335, arrived 32, Rejected 0, In line 439, at 14:35:0
336, arrived 33, Rejected 0, In line 430, at 14:36:0
337, arrived 37, Rejected 0, In line 425, at 14:37:0
338, arrived 36, Rejected 0, In line 419, at 14:38:0
339, arrived 31, Rejected 0, In line 408, at 14:39:0
340, arrived 29, Rejected 0, In line 395, at 14:40:0
341, arrived 27, Rejected 0, In line 380, at 14:41:0
342, arrived 28, Rejected 0, In line 366, at 14:42:0
343, arrived 37, Rejected 0, In line 361, at 14:43:0
344, arrived 33, Rejected 0, In line 352, at 14:44:0
345, arrived 32, Rejected 0, In line 342, at 14:45:0
346, arrived 32, Rejected 0, In line 332, at 14:46:0
347, arrived 27, Rejected 0, In line 317, at 14:47:0
348, arrived 34, Rejected 0, In line 309, at 14:48:0
349, arrived 44, Rejected 0, In line 311, at 14:49:0
350, arrived 36, Rejected 0, In line 305, at 14:50:0
351, arrived 31, Rejected 0, In line 294, at 14:51:0
352, arrived 37, Rejected 0, In line 289, at 14:52:0
353, arrived 39, Rejected 0, In line 286, at 14:53:0
354, arrived 35, Rejected 0, In line 279, at 14:54:0
355, arrived 29, Rejected 0, In line 266, at 14:55:0
356, arrived 42, Rejected 0, In line 266, at 14:56:0
357, arrived 37, Rejected 0, In line 261, at 14:57:0
358, arrived 35, Rejected 0, In line 254, at 14:58:0
359, arrived 30, Rejected 0, In line 242, at 14:59:0
360, arrived 26, Rejected 0, In line 226, at 15:0:0
361, arrived 24, Rejected 0, In line 208, at 15:1:0
362, arrived 30, Rejected 0, In line 196, at 15:2:0
363, arrived 24, Rejected 0, In line 178, at 15:3:0
364, arrived 21, Rejected 0, In line 157, at 15:4:0
365, arrived 23, Rejected 0, In line 138, at 15:5:0
366, arrived 28, Rejected 0, In line 124, at 15:6:0
367, arrived 27, Rejected 0, In line 109, at 15:7:0
368, arrived 36, Rejected 0, In line 103, at 15:8:0
369, arrived 23, Rejected 0, In line 84, at 15:9:0
370, arrived 31, Rejected 0, In line 73, at 15:10:0
371, arrived 20, Rejected 0, In line 51, at 15:11:0
372, arrived 24, Rejected 0, In line 33, at 15:12:0
373, arrived 13, Rejected 0, In line 13, at 15:13:0
374, arrived 29, Rejected 0, In line 29, at 15:14:0
375, arrived 29, Rejected 0, In line 29, at 15:15:0
376, arrived 22, Rejected 0, In line 22, at 15:16:0
377, arrived 19, Rejected 0, In line 19, at 15:17:0
378, arrived 31, Rejected 0, In line 31, at 15:18:0
379, arrived 28, Rejected 0, In line 28, at 15:19:0
380, arrived 17, Rejected 0, In line 17, at 15:20:0
381, arrived 24, Rejected 0, In line 24, at 15:21:0
382, arrived 37, Rejected 0, In line 37, at 15:22:0
383, arrived 28, Rejected 0, In line 28, at 15:23:0
384, arrived 21, Rejected 0, In line 21, at 15:24:0
